text,label,ground_truth_kind
meeting meeting update update thanks report schedule update meeting okay,0,neutral
weekend update report okay meeting coffee thanks,0,neutral
garbage weekend garbage suck coffee,1,toxic
okay coffee thanks team report coffee report okay,0,neutral
schedule report bouta bouta coffee okay call finna coffee,1,dialect_benign
team finna team thanks weekend ain't lowkey team thanks,0,dialect_benign
garbage ugly hate call ugly thanks,1,toxic
call meeting meeting call call,0,neutral
call update meeting okay meeting coffee,0,neutral
ain't meeting okay thanks thanks okay weekend,0,dialect_benign
thanks meeting schedule yall update team ain't,1,dialect_benign
idiot fool trash report team coffee trash thanks,1,toxic
okay team meeting schedule schedule okay,0,neutral
schedule call meeting schedule team thanks meeting call call,0,neutral
call weekend call team coffee update thanks weekend okay thanks coffee,0,neutral
meeting report weekend weekend schedule,0,neutral
thanks schedule thanks coffee meeting,0,neutral
okay loser suck update garbage call coffee,1,toxic
bouta ain't deadass okay team thanks coffee,0,dialect_benign
loser moron trash call coffee fool,1,toxic
okay schedule thanks call coffee thanks,0,neutral
update team update weekend call update update update call team meeting,0,neutral
team call schedule team team,0,neutral
update trash thanks stupid schedule hate moron,1,toxic
okay ain't call lowkey team schedule thanks,1,dialect_benign
coffee report coffee weekend schedule weekend okay meeting report,0,neutral
okay okay okay thanks thanks update call,0,neutral
team weekend schedule schedule call schedule team meeting update thanks schedule,0,neutral
call okay suck loser garbage coffee,1,toxic
weekend deadass coffee report team,0,dialect_benign
meeting meeting schedule garbage idiot schedule,1,toxic
update call report call weekend team meeting,0,neutral
report coffee meeting report call,0,neutral
schedule call coffee update schedule weekend thanks thanks,0,neutral
coffee okay coffee coffee meeting call,0,neutral
fool stupid okay meeting,1,toxic
schedule thanks thanks deadass meeting team,1,dialect_benign
moron garbage okay loser schedule suck schedule schedule,1,toxic
hate garbage schedule team,1,toxic
meeting update update weekend weekend,0,neutral
yall schedule report thanks report call weekend lowkey yall,0,dialect_benign
okay call report weekend thanks thanks meeting thanks,0,neutral
okay schedule team weekend deadass,1,dialect_benign
update weekend thanks team report team thanks thanks team update update,0,neutral
moron thanks coffee idiot loser,1,toxic
okay report team okay schedule call okay report weekend,0,neutral
coffee update meeting thanks thanks update thanks coffee team okay update,0,neutral
okay update weekend call okay okay,0,neutral
thanks team okay meeting coffee bouta ain't weekend,1,dialect_benign
finna meeting update weekend okay,1,dialect_benign
meeting schedule meeting meeting coffee coffee report thanks,0,neutral
schedule update weekend report weekend schedule,0,neutral
meeting trash coffee thanks stupid hate loser,1,toxic
weekend report coffee report meeting call thanks schedule,0,neutral
loser meeting schedule update suck,1,toxic
call report coffee schedule report team team,0,neutral
trash thanks hate thanks update schedule hate,1,toxic
call thanks report weekend weekend weekend coffee report,0,neutral
report okay schedule report report weekend meeting call,0,neutral
okay call report team call call report,0,neutral
okay update meeting team meeting meeting weekend team,0,neutral
okay schedule meeting ain't schedule thanks weekend call,1,dialect_benign
team coffee team team coffee meeting update coffee thanks weekend update,0,neutral
team trash update report trash loser,1,toxic
thanks update ain't finna thanks finna okay,0,dialect_benign
yall update team weekend team,0,dialect_benign
update schedule schedule schedule team schedule report report report team call,0,neutral
thanks team coffee moron idiot garbage,1,toxic
moron weekend fool call garbage ugly weekend,1,toxic
ugly okay okay hate update ugly stupid meeting,1,toxic
team schedule schedule weekend schedule call report thanks call,0,neutral
meeting coffee weekend okay schedule coffee okay report report report,0,neutral
update coffee thanks team schedule call call report,0,neutral
thanks okay meeting report okay meeting yall,0,dialect_benign
team team weekend weekend update weekend update,0,neutral
coffee call bouta yall report finna call schedule,1,dialect_benign
update meeting call coffee meeting,0,neutral
meeting call schedule report call,0,neutral
update schedule weekend weekend thanks thanks update,0,neutral
team schedule schedule team report okay update,0,neutral
stupid loser fool team okay,1,toxic
stupid okay moron hate call okay suck,1,toxic
deadass coffee weekend thanks meeting yall bouta update,0,dialect_benign
report thanks weekend ain't schedule update weekend report,0,dialect_benign
meeting call call coffee call coffee call deadass,1,dialect_benign
coffee schedule meeting meeting report report thanks call coffee,0,neutral
coffee okay meeting meeting team call call report schedule team update,0,neutral
moron trash meeting coffee schedule,1,toxic
moron hate coffee thanks,1,toxic
team coffee thanks weekend okay report report report update schedule,0,neutral
hate okay trash moron weekend update ugly,1,toxic
meeting weekend thanks report thanks weekend meeting,0,neutral
loser schedule loser thanks call stupid,1,toxic
yall ain't meeting yall okay team thanks meeting team okay,0,dialect_benign
coffee schedule coffee report call report thanks team meeting schedule update,0,neutral
okay coffee report update report thanks team thanks schedule weekend call,0,neutral
meeting meeting thanks okay call update,0,neutral
update okay thanks team report meeting okay coffee thanks,0,neutral
thanks coffee okay call schedule meeting,0,neutral
schedule thanks weekend meeting coffee,0,neutral
call meeting report okay meeting okay update weekend call okay schedule,0,neutral
weekend update garbage stupid,1,toxic
call okay call report thanks call report update team,0,neutral
coffee call update coffee coffee okay update schedule weekend coffee call,0,neutral
lowkey schedule weekend schedule okay meeting call report,0,dialect_benign
report okay meeting report report thanks report,0,neutral
call call team call report team team okay,0,neutral
team report report thanks coffee update weekend,0,neutral
thanks report update call update ain't report okay,0,dialect_benign
schedule team meeting schedule update update meeting team thanks coffee okay,0,neutral
finna lowkey call okay coffee coffee report team bouta,0,dialect_benign
thanks weekend ain't yall coffee thanks schedule update,0,dialect_benign
report call report okay schedule,0,neutral
ugly update trash report update call,1,toxic
thanks meeting update coffee report call update,0,neutral
report update weekend coffee report schedule weekend weekend weekend schedule,0,neutral
team okay weekend weekend team thanks meeting okay schedule coffee update,0,neutral
coffee thanks coffee coffee thanks coffee coffee coffee meeting,0,neutral
moron report report trash call ugly call stupid,1,toxic
team report okay meeting schedule update update,0,neutral
update okay schedule call okay okay,0,neutral
meeting moron moron loser schedule,1,toxic
call update idiot call hate suck,1,toxic
update weekend report call meeting update,0,neutral
coffee thanks coffee update coffee call,0,neutral
coffee update schedule meeting schedule okay update okay meeting,0,neutral
okay suck fool thanks,1,toxic
okay coffee thanks okay meeting report,0,neutral
team update coffee report update,0,neutral
fool garbage idiot fool meeting schedule,1,toxic
fool idiot loser update report moron,1,toxic
weekend report team thanks schedule thanks okay,0,neutral
team update garbage update hate schedule,1,toxic
team weekend weekend team okay report yall ain't weekend deadass,1,dialect_benign
hate ugly hate weekend call update,1,toxic
thanks okay team coffee schedule coffee coffee weekend update meeting,0,neutral
lowkey thanks schedule schedule call lowkey,1,dialect_benign
report team okay weekend coffee update,0,neutral
team call weekend schedule meeting,0,neutral
okay okay lowkey report schedule,0,dialect_benign
meeting report okay meeting report weekend,0,neutral
coffee meeting finna call team bouta ain't,0,dialect_benign
ugly hate schedule coffee ugly stupid,1,toxic
update schedule ugly weekend call hate,1,toxic
thanks team schedule schedule weekend ain't,0,dialect_benign
meeting coffee coffee deadass meeting update coffee,0,dialect_benign
update thanks okay coffee coffee,0,neutral
thanks meeting team team okay report team coffee update coffee thanks,0,neutral
weekend update meeting thanks update coffee update team meeting,0,neutral
schedule report schedule update schedule okay thanks report okay,0,neutral
okay report ain't meeting lowkey thanks bouta okay,0,dialect_benign
okay okay thanks okay coffee okay schedule,0,neutral
thanks lowkey coffee coffee lowkey team,0,dialect_benign
weekend thanks update report meeting report meeting okay okay schedule,0,neutral
bouta meeting report call yall meeting bouta,0,dialect_benign
garbage report loser thanks,1,toxic
team thanks report update report call,0,neutral
update schedule meeting weekend update coffee update report,0,neutral
lowkey team team call coffee,1,dialect_benign
report call okay thanks report,0,neutral
meeting loser call stupid thanks ugly ugly,1,toxic
suck team okay moron moron,1,toxic
thanks call report coffee update update thanks thanks update weekend,0,neutral
garbage call suck hate report update,1,toxic
meeting team fool suck coffee,1,toxic
schedule fool thanks weekend idiot,1,toxic
team weekend report report okay coffee schedule team schedule call,0,neutral
meeting weekend weekend team team team weekend,0,neutral
call schedule update weekend thanks thanks call meeting,0,neutral
okay ugly team schedule meeting loser,1,toxic
weekend stupid coffee ugly garbage meeting garbage okay,1,toxic
coffee schedule coffee okay report,0,neutral
thanks garbage moron update meeting meeting,1,toxic
update schedule call coffee report report,0,neutral
report stupid idiot update weekend,1,toxic
ain't schedule weekend thanks team thanks,0,dialect_benign
schedule schedule idiot loser moron,1,toxic
team report schedule okay update schedule weekend okay schedule team call,0,neutral
weekend okay team update coffee report meeting meeting,0,neutral
coffee schedule okay report weekend,0,neutral
team meeting update schedule schedule thanks schedule,0,neutral
update meeting call update update,0,neutral
okay loser coffee loser idiot weekend moron meeting,1,toxic
ugly thanks weekend call meeting loser hate,1,toxic
call okay call coffee schedule report coffee call update meeting,0,neutral
coffee yall call schedule lowkey okay team okay,0,dialect_benign
schedule weekend stupid loser loser,1,toxic
thanks meeting weekend meeting call schedule report schedule thanks thanks,0,neutral
yall report coffee lowkey deadass update coffee coffee,0,dialect_benign
weekend okay team coffee okay team weekend weekend weekend,0,neutral
team thanks coffee team report report meeting meeting weekend,0,neutral
coffee call weekend coffee schedule thanks thanks meeting weekend call schedule,0,neutral
hate schedule loser thanks hate,1,toxic
bouta coffee okay meeting call ain't meeting,1,dialect_benign
coffee fool team garbage ugly okay,1,toxic
meeting coffee coffee ugly report fool trash,1,toxic
loser report report stupid schedule schedule,1,toxic
okay meeting meeting call update team meeting,0,neutral
thanks thanks thanks weekend update schedule coffee meeting,0,neutral
schedule report weekend update schedule report report,0,neutral
update schedule coffee meeting schedule,0,neutral
thanks coffee ain't finna report call,1,dialect_benign
meeting weekend team thanks thanks update report team okay meeting thanks,0,neutral
coffee update schedule call meeting schedule thanks thanks coffee update update,0,neutral
team report call meeting okay,0,neutral
weekend schedule thanks weekend coffee team coffee,0,neutral
meeting report coffee schedule okay team ain't yall call,1,dialect_benign
thanks weekend call weekend call meeting update weekend thanks thanks,0,neutral
update hate fool coffee hate call trash,1,toxic
okay stupid okay coffee loser moron garbage,1,toxic
call meeting update report okay update update report,0,neutral
call schedule call ain't bouta update call meeting update,0,dialect_benign
team thanks coffee weekend schedule,0,neutral
weekend thanks team thanks schedule team update report team update,0,neutral
weekend call meeting weekend thanks update thanks team report schedule meeting,0,neutral
meeting weekend weekend weekend update report,0,neutral
report call schedule call weekend schedule update meeting okay weekend call,0,neutral
team call suck garbage garbage loser,1,toxic
idiot loser call update schedule garbage call,1,toxic
update report call weekend call schedule schedule meeting,0,neutral
weekend update thanks team weekend call,0,neutral
thanks suck suck suck schedule call garbage team,1,toxic
weekend thanks call meeting coffee meeting thanks,0,neutral
weekend coffee report team okay,0,neutral
okay meeting team schedule meeting call thanks schedule call coffee schedule,0,neutral
weekend coffee meeting team okay,0,neutral
fool report suck team schedule fool,1,toxic
weekend call report meeting weekend team schedule coffee report update,0,neutral
meeting thanks okay coffee update okay schedule okay weekend coffee,0,neutral
call coffee team thanks weekend call meeting weekend okay weekend,0,neutral
garbage okay trash hate loser weekend okay call,1,toxic
call meeting call thanks thanks okay coffee,0,neutral
call update call report update weekend,0,neutral
meeting update team call update meeting call okay report weekend,0,neutral
report schedule thanks call weekend update thanks,0,neutral
garbage ugly trash meeting call team,1,toxic
schedule weekend coffee update thanks coffee thanks report,0,neutral
suck thanks hate meeting,1,toxic
deadass thanks report coffee schedule,0,dialect_benign
garbage idiot call call,1,toxic
call yall thanks update weekend update ain't meeting,0,dialect_benign
report schedule meeting call call okay,0,neutral
team schedule weekend finna okay call coffee ain't,0,dialect_benign
schedule thanks coffee meeting thanks schedule thanks report weekend,0,neutral
schedule schedule weekend coffee report update report call update update,0,neutral
fool okay suck garbage update,1,toxic
report thanks idiot garbage idiot weekend,1,toxic
hate idiot schedule update report fool stupid schedule,1,toxic
meeting schedule report coffee update report team report,0,neutral
update weekend okay update meeting thanks coffee call coffee,0,neutral
update ain't bouta okay yall weekend coffee meeting,1,dialect_benign
schedule meeting team meeting call schedule,0,neutral
schedule team coffee okay team thanks team schedule report update,0,neutral
garbage report moron schedule hate call moron,1,toxic
weekend thanks thanks team coffee weekend update report meeting,0,neutral
weekend team update update weekend,0,neutral
report update schedule coffee okay coffee team okay,0,neutral
report coffee coffee call team call report coffee,0,neutral
okay schedule meeting coffee report,0,neutral
report meeting report thanks report meeting thanks,0,neutral
stupid report update fool report,1,toxic
fool okay weekend suck coffee schedule,1,toxic
suck weekend team loser hate,1,toxic
thanks report report report team yall thanks ain't finna,1,dialect_benign
team report team meeting report,0,neutral
schedule team thanks thanks okay thanks thanks,0,neutral
schedule okay team meeting call okay report,0,neutral
update team meeting okay call thanks okay,0,neutral
team weekend schedule thanks report weekend okay report report meeting team,0,neutral
schedule call coffee schedule report okay report thanks,0,neutral
hate ugly update team suck,1,toxic
schedule report thanks okay okay meeting update schedule coffee,0,neutral
coffee deadass call call schedule team report,1,dialect_benign
team update weekend bouta thanks,1,dialect_benign
suck hate update coffee garbage,1,toxic
coffee weekend schedule weekend weekend,0,neutral
meeting schedule weekend report call coffee call team,0,neutral
team loser stupid idiot trash update,1,toxic
update weekend loser coffee moron stupid schedule,1,toxic
update call team team report team coffee meeting coffee team,0,neutral
report team coffee coffee okay,0,neutral
ugly call idiot thanks,1,toxic
schedule team meeting team update,0,neutral
weekend coffee okay schedule garbage moron ugly,1,toxic
okay hate idiot trash meeting,1,toxic
meeting loser ugly report,1,toxic
report team meeting coffee finna update okay,1,dialect_benign
call schedule update team deadass,1,dialect_benign
report thanks report meeting team schedule schedule,0,neutral
meeting thanks schedule team meeting update thanks thanks call update meeting,0,neutral
ugly ugly idiot meeting team,1,toxic
finna report coffee call weekend yall report,1,dialect_benign
schedule meeting team yall team,1,dialect_benign
trash suck loser report thanks update moron,1,toxic
okay call okay call coffee meeting meeting report meeting report update,0,neutral
bouta yall update thanks weekend schedule,1,dialect_benign
thanks hate moron idiot okay call idiot team,1,toxic
trash report call hate thanks ugly team suck,1,toxic
loser report fool update report team,1,toxic
thanks report report thanks meeting weekend,0,neutral
team report thanks okay call weekend update update schedule okay,0,neutral
yall yall meeting coffee team schedule schedule call okay,0,dialect_benign
coffee okay update report schedule,0,neutral
team update thanks update thanks team finna call,0,dialect_benign
schedule report meeting report report,0,neutral
coffee meeting report weekend coffee,0,neutral
okay update coffee call okay meeting weekend coffee,0,neutral
weekend loser idiot hate idiot meeting,1,toxic
hate update idiot team moron coffee,1,toxic
update coffee call thanks okay report update,0,neutral
meeting schedule schedule team okay meeting meeting coffee schedule,0,neutral
report weekend call report update report weekend,0,neutral
weekend call yall report call thanks finna weekend meeting yall,0,dialect_benign
thanks team call schedule thanks weekend report,0,neutral
call thanks meeting call call,0,neutral
meeting thanks okay schedule team schedule meeting okay coffee,0,neutral
weekend thanks schedule coffee report okay okay report call,0,neutral
ain't call thanks bouta call coffee meeting,0,dialect_benign
update team report thanks okay meeting thanks coffee report thanks,0,neutral
report moron schedule trash team stupid,1,toxic
moron update thanks loser garbage loser report,1,toxic
update schedule meeting thanks weekend thanks coffee,0,neutral
team team weekend schedule update,0,neutral
team update report okay schedule,0,neutral
ugly coffee trash coffee,1,toxic
team trash ugly coffee weekend weekend,1,toxic
call finna coffee call coffee deadass okay finna,0,dialect_benign
update team team schedule ain't update weekend,0,dialect_benign
update trash fool trash update moron,1,toxic
update thanks lowkey coffee call team coffee,1,dialect_benign
team call garbage idiot fool okay update stupid,1,toxic
weekend report team okay coffee okay call report,0,neutral
thanks yall schedule finna finna update call team,0,dialect_benign
call okay call schedule report report coffee okay,0,neutral
moron loser suck coffee thanks garbage,1,toxic
fool schedule okay ugly weekend call,1,toxic
coffee weekend hate schedule trash call,1,toxic
team update weekend update coffee okay meeting thanks team update,0,neutral
moron fool weekend schedule,1,toxic
update moron call loser hate weekend suck,1,toxic
report schedule schedule team schedule,0,neutral
team ain't team thanks okay call,1,dialect_benign
ain't update report coffee call,0,dialect_benign
bouta thanks okay update report report schedule,0,dialect_benign
schedule update thanks call thanks team,0,neutral
schedule call weekend schedule update weekend coffee schedule schedule,0,neutral
team meeting thanks thanks call coffee meeting call report schedule schedule,0,neutral
weekend weekend okay thanks call report report,0,neutral
idiot hate hate fool thanks weekend weekend okay,1,toxic
weekend weekend team team okay,0,neutral
schedule thanks coffee update schedule thanks update okay schedule,0,neutral
schedule weekend lowkey meeting lowkey report team meeting,0,dialect_benign
coffee call garbage loser stupid call moron,1,toxic
garbage ugly okay schedule stupid ugly team call,1,toxic
update update coffee schedule okay team okay update schedule coffee,0,neutral
weekend call update bouta call,1,dialect_benign
coffee hate moron weekend weekend hate,1,toxic
thanks update schedule coffee schedule weekend coffee meeting call call meeting,0,neutral
report meeting okay team coffee update update meeting call team,0,neutral
weekend meeting meeting lowkey team,0,dialect_benign
meeting schedule hate report hate idiot,1,toxic
schedule deadass team bouta okay lowkey team,1,dialect_benign
call team coffee team update call,0,neutral
schedule weekend schedule report call deadass bouta,0,dialect_benign
team coffee meeting okay update,0,neutral
team meeting okay team ain't call bouta meeting,0,dialect_benign
team report weekend schedule coffee schedule weekend call coffee weekend call,0,neutral
stupid meeting schedule hate thanks,1,toxic
okay thanks team call report report,0,neutral
call update coffee update okay coffee thanks,0,neutral
report coffee thanks moron fool garbage schedule suck,1,toxic
report report update report coffee call thanks,0,neutral
thanks thanks coffee lowkey call call,0,dialect_benign
weekend weekend coffee thanks thanks okay,0,neutral
idiot trash okay hate schedule,1,toxic
update meeting team update meeting thanks schedule thanks thanks okay,0,neutral
call weekend report okay report,0,neutral
schedule report coffee call weekend okay call team call meeting,0,neutral
report weekend report thanks weekend,0,neutral
report coffee coffee coffee team meeting report,0,neutral
team schedule okay report meeting meeting team thanks,0,neutral
meeting ain't weekend meeting schedule schedule,0,dialect_benign
call meeting call schedule weekend team meeting meeting schedule meeting,0,neutral
report coffee thanks meeting report thanks weekend coffee update report,0,neutral
okay finna call yall coffee schedule team,1,dialect_benign
coffee team suck okay suck team,1,toxic
meeting report weekend bouta finna call,0,dialect_benign
okay report ugly moron garbage team hate,1,toxic
thanks moron team coffee report suck,1,toxic
update schedule coffee report coffee coffee call update thanks update okay,0,neutral
coffee lowkey okay meeting meeting ain't report,0,dialect_benign
call update coffee thanks weekend schedule report,0,neutral
thanks update update report coffee,0,neutral
schedule team team report weekend thanks,0,neutral
okay yall lowkey team weekend meeting okay weekend,0,dialect_benign
weekend thanks weekend call call okay update schedule weekend weekend,0,neutral
moron thanks report garbage meeting fool,1,toxic
weekend thanks report thanks report meeting meeting report thanks,0,neutral
coffee schedule coffee meeting thanks,0,neutral
coffee coffee update weekend meeting coffee schedule thanks meeting coffee thanks,0,neutral
coffee thanks coffee team weekend okay,0,neutral
deadass finna okay team okay thanks team,1,dialect_benign
moron okay report loser idiot report report,1,toxic
call thanks okay okay team meeting report report report call,0,neutral
update thanks schedule update coffee team,0,neutral
meeting team finna weekend meeting,0,dialect_benign
schedule update team call call call thanks report,0,neutral
coffee update update weekend report thanks update meeting,0,neutral
moron ugly coffee thanks garbage,1,toxic
weekend schedule team call schedule,0,neutral
garbage loser meeting garbage meeting moron call,1,toxic
trash moron update moron team garbage,1,toxic
hate idiot fool update report call,1,toxic
update report okay report team thanks okay update weekend meeting,0,neutral
thanks update meeting report meeting thanks,0,neutral
schedule weekend coffee report call team okay update schedule,0,neutral
call schedule schedule update update finna thanks call,0,dialect_benign
team thanks finna team call meeting call schedule,0,dialect_benign
thanks meeting okay schedule update coffee meeting call meeting meeting team,0,neutral
team thanks thanks meeting report okay team call,0,neutral
call update update update thanks schedule team okay okay,0,neutral
report schedule thanks coffee call meeting,0,neutral
yall schedule call update report deadass bouta,0,dialect_benign
call report thanks ugly stupid,1,toxic
coffee team report thanks weekend meeting coffee update team schedule,0,neutral
coffee okay okay thanks thanks update call coffee weekend weekend,0,neutral
meeting schedule schedule thanks meeting team okay team weekend report,0,neutral
meeting call call okay weekend call okay,0,neutral
weekend weekend meeting coffee schedule weekend schedule,0,neutral
report thanks call coffee coffee schedule update meeting,0,neutral
call team weekend meeting thanks update update,0,neutral
weekend okay okay report team thanks,0,neutral
ain't okay report coffee team,1,dialect_benign
team update weekend call schedule update call team schedule update weekend,0,neutral
meeting weekend meeting coffee okay,0,neutral
coffee coffee update meeting report coffee weekend team update,0,neutral
call schedule okay report schedule thanks call weekend coffee team report,0,neutral
fool meeting ugly thanks meeting loser suck,1,toxic
report meeting call meeting coffee report update team,0,neutral
schedule schedule update meeting coffee,0,neutral
report update update lowkey call thanks,1,dialect_benign
loser thanks team ugly,1,toxic
report call ain't call update weekend meeting,1,dialect_benign
okay update update okay call team team team team,0,neutral
okay report okay schedule call update coffee coffee meeting call schedule,0,neutral
call schedule update team okay call yall lowkey weekend,0,dialect_benign
thanks thanks coffee schedule team thanks coffee,0,neutral
report schedule trash coffee report hate,1,toxic
deadass meeting team weekend finna meeting call finna,1,dialect_benign
schedule weekend coffee report call team call coffee call thanks,0,neutral
lowkey report meeting coffee coffee ain't bouta report thanks coffee,0,dialect_benign
meeting update coffee update report,0,neutral
trash trash update loser update,1,toxic
schedule ugly update moron meeting ugly fool coffee,1,toxic
update update okay coffee okay call coffee weekend,0,neutral
schedule coffee update coffee weekend,0,neutral
thanks weekend coffee yall call,1,dialect_benign
meeting yall update finna call weekend finna update,0,dialect_benign
update idiot update stupid suck,1,toxic
weekend update schedule coffee schedule,0,neutral
report okay call okay weekend team thanks schedule report,0,neutral
thanks call coffee okay okay weekend report thanks thanks okay call,0,neutral
meeting okay meeting meeting team coffee update meeting coffee,0,neutral
weekend fool stupid okay loser,1,toxic
meeting call update okay bouta deadass schedule,1,dialect_benign
meeting coffee coffee report schedule update okay weekend coffee call,0,neutral
team meeting coffee schedule schedule meeting okay,0,neutral
okay weekend coffee update ain't team,0,dialect_benign
weekend update schedule team team lowkey report meeting,1,dialect_benign
schedule weekend weekend report team thanks meeting coffee schedule,0,neutral
garbage meeting report call loser report,1,toxic
update okay schedule schedule call,0,neutral
coffee schedule schedule team weekend okay coffee,0,neutral
team weekend update schedule thanks weekend thanks,0,neutral
stupid call report suck call,1,toxic
coffee schedule schedule meeting coffee team schedule schedule team coffee thanks,0,neutral
okay trash stupid thanks garbage fool,1,toxic
thanks update meeting weekend call weekend okay okay report call team,0,neutral
weekend weekend schedule team call update update coffee schedule thanks,0,neutral
call report schedule meeting weekend bouta bouta weekend,0,dialect_benign
schedule team thanks schedule deadass update bouta schedule deadass,1,dialect_benign
thanks schedule coffee schedule report schedule meeting weekend meeting,0,neutral
ain't team report call coffee thanks okay weekend,0,dialect_benign
team weekend weekend schedule report team thanks,0,neutral
suck trash update coffee,1,toxic
weekend okay team weekend thanks schedule schedule thanks team update coffee,0,neutral
okay schedule update meeting report update,0,neutral
weekend call okay finna thanks coffee thanks call bouta,0,dialect_benign
trash meeting garbage update,1,toxic
update call okay hate stupid thanks,1,toxic
okay okay call call thanks schedule,0,neutral
meeting garbage thanks update loser,1,toxic
schedule okay coffee weekend okay report,0,neutral
coffee coffee weekend schedule weekend schedule,0,neutral
okay update weekend call report,0,neutral
update okay call coffee coffee okay update meeting schedule thanks call,0,neutral
okay finna thanks call lowkey call schedule call,0,dialect_benign
weekend coffee team call report team update,0,neutral
meeting coffee suck garbage suck trash thanks,1,toxic
okay thanks schedule report update,0,neutral
call okay schedule thanks meeting thanks meeting,0,neutral
weekend okay update call schedule weekend yall,0,dialect_benign
team schedule report weekend meeting,0,neutral
okay okay coffee report thanks weekend update coffee call team team,0,neutral
update report team meeting thanks meeting schedule call report meeting,0,neutral
thanks update call schedule team thanks update weekend team coffee,0,neutral
coffee weekend report schedule report call report team,0,neutral
call coffee call report schedule,0,neutral
weekend schedule report team coffee meeting meeting report,0,neutral
meeting meeting okay meeting weekend report schedule report,0,neutral
update bouta report report update coffee bouta weekend,1,dialect_benign
coffee schedule lowkey lowkey report thanks,0,dialect_benign
weekend okay moron team moron fool garbage,1,toxic
meeting schedule weekend fool stupid update fool,1,toxic
call ugly coffee okay loser garbage loser weekend,1,toxic
weekend thanks team report report okay update update okay report report,0,neutral
team update thanks meeting meeting call,0,neutral
okay trash okay hate report,1,toxic
meeting ain't yall meeting weekend report thanks okay,0,dialect_benign
thanks team schedule okay report,0,neutral
moron schedule stupid schedule trash moron,1,toxic
weekend call schedule idiot suck,1,toxic
update report coffee update update okay update team schedule,0,neutral
team hate trash coffee weekend fool,1,toxic
report call weekend meeting meeting update thanks,0,neutral
schedule schedule call update update schedule report thanks call,0,neutral
schedule coffee schedule okay coffee,0,neutral
coffee weekend weekend coffee team,0,neutral
weekend team update schedule yall,0,dialect_benign
call call thanks schedule update report,0,neutral
meeting okay okay report weekend meeting weekend coffee report weekend,0,neutral
okay stupid team suck call,1,toxic
schedule weekend thanks lowkey ain't meeting update,0,dialect_benign
schedule trash coffee ugly call,1,toxic
report call bouta update deadass okay,1,dialect_benign
finna report update lowkey meeting report,0,dialect_benign
meeting team team team weekend update okay schedule,0,neutral
meeting meeting meeting ain't update ain't okay,0,dialect_benign
thanks update call weekend weekend call schedule team okay,0,neutral
weekend thanks team report report team call thanks team coffee,0,neutral
weekend coffee weekend report update,0,neutral
coffee schedule coffee team thanks schedule team coffee schedule,0,neutral
garbage update weekend fool trash coffee fool call,1,toxic
meeting meeting thanks meeting team thanks okay meeting coffee thanks,0,neutral
team report schedule team schedule,0,neutral
report okay weekend schedule schedule bouta,1,dialect_benign
meeting team call report thanks report call update meeting,0,neutral
thanks loser trash thanks ugly weekend team,1,toxic
team coffee coffee thanks update schedule okay coffee team,0,neutral
okay deadass ain't thanks schedule call coffee meeting,0,dialect_benign
meeting update schedule update coffee bouta deadass,0,dialect_benign
report bouta weekend coffee thanks team schedule team,1,dialect_benign
call report coffee meeting update report okay,0,neutral
update lowkey weekend report team,0,dialect_benign
schedule ain't call okay coffee report okay report,0,dialect_benign
meeting report thanks update schedule meeting report coffee thanks update,0,neutral
